認証番号,店名,住所,更新日,townid,geo3x3
0332,おやじのフレンチ てつ,福井県あわら市温泉3-201 あわら温泉屋台村湯けむり横丁内,2021-08-11,E91387626758,E9138762676474
0333,旬彩厨房 𠮷のぶ,福井県小浜市駅前町2-8,2021-08-11,E9138443736,E9138443736744
0334,タヌキ寿司,福井県敦賀市津内町1-8-15,2021-08-11,E91384677312,E9138467731221
0335,三谷屋 風,福井県あわら市春宮2-4-18,2021-08-11,E9138763459,E9138763459462
0336,チェリー喫茶,福井県大野市月美町5-9,2021-08-11,E9138813824,E9138813827259
0337,浅田クッキングスクール直営 クィーンアリス,福井県福井市町屋1-5-31,2021-08-11,E9138736767,E9138736767198
0339,DINO CAFE,福井県勝山市村岡町寺尾51-11,2021-08-11,E913881686,E9138816883635
0340,パブレストラン ゴリラ,福井県小浜市小浜酒井64,2021-08-11,E91384437386,E9138443738585
0341,グリーンハウス,福井県敦賀市港町2-15,2021-08-11,E91384677397,E9138467763146
0342,のれん,福井県福井市福2-1910,2021-08-11,E9138735645,E9138735644732
0344,grass.No,福井県福井市順化2-22-1 寺本ビル201,2021-08-11,E91387359339,E91387359339
0346,グリル セピア,福井県鯖江市水落町3-8-25,2021-08-11,E913873261,E9138732565473
0347,スイーツ＆カフェ Blanc,福井県鯖江市丸山町2-7-13,2021-08-11,E9138732832,E9138732833777
0348,山楽亭,福井県吉田郡永平寺町志比23-31-10,2021-08-11,E91388146,E9138814671474
0349,善五郎,福井県福井市文京1-4-24,2021-08-11,E9138736746,E9138735966428
0350,恵長庵 まんもと,福井県福井市日之出1-13-6,2021-08-11,E91387367221,E9138736722559
0351,小料理 あさ川,福井県坂井市三国町山岸39-50-9,2021-08-11,E913876242,E9138762148768
0352,屋台中華 まる,福井県あわら市温泉3-201 あわら温泉屋台村湯けむり横丁内,2021-08-11,E91387626758,E9138762676474
0353,すし春,福井県福井市学園1-2-12 学園ビル1F,2021-08-11,E91387359283,E9138735928569
0354,多国籍居酒屋 シャンガリ,福井県福井市日之出1-14-10 坪井ビル1F,2021-08-11,E91387367221,E9138736722517
0355,海鮮お食事処 夕なぎ荘,福井県坂井市三国町安島64-1-33,2021-08-11,E913876242,E9138761939575
0357,Bar Banguet,福井県越前市京町2-1-5,2021-08-11,E91384988151,E9138498815565
0358,五目亭 新保店,福井県福井市新保北1-409,2021-08-11,E9138736876,E9138736876889
0359,MOMI＆TOY’S エンゼルランドふくい前店,福井県坂井市春江町江留下高道95-1,2021-08-11,E91387394199,E9138739442865
